Date : 2025-06-26 19:26:32
Directory : c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework
Total : 108 files,  6849 codes, 207 comments, 892 blanks, all 7948 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C#       |        105 |      6,404 |        198 |        888 |      7,490 |
| XML      |          1 |        427 |          7 |          0 |        434 |
| PostCSS  |          1 |         13 |          2 |          4 |         19 |
| JSON     |          1 |          5 |          0 |          0 |          5 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                               | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Models\CartModels\CartItem.cs                                       | C#       |         20 |          0 |          3 |         23 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Models\OrderModels\Order.cs                                         | C#       |         38 |          0 |         17 |         55 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Models\OrderModels\OrderItem.cs                                     | C#       |         28 |          0 |          9 |         37 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Models\ProductModels\Brand.cs                                       | C#       |         16 |          0 |          2 |         18 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Models\ProductModels\Category.cs                                    | C#       |         19 |          0 |          1 |         20 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Models\ProductModels\FilterAttribute.cs                             | C#       |         15 |          0 |          1 |         16 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Models\ProductModels\FilterAttributeValue.cs                        | C#       |         14 |          0 |          1 |         15 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Models\ProductModels\Product.cs                                     | C#       |         35 |          0 |         13 |         48 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Models\ProductModels\ProductAttributeValue.cs                       | C#       |         18 |          0 |          1 |         19 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Models\ProductModels\ProductImage.cs                                | C#       |         14 |          0 |          1 |         15 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Models\ProductModels\ProductQuestion.cs                             | C#       |         18 |          0 |          2 |         20 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Models\ProductModels\ProductReview.cs                               | C#       |         16 |          0 |          1 |         17 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Models\ProductModels\ProductVisit.cs                                | C#       |         16 |          0 |          1 |         17 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Models\ProductModels\SubCategory.cs                                 | C#       |         19 |          0 |          2 |         21 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Models\Users\Address.cs                                             | C#       |         18 |          0 |          4 |         22 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Models\Users\User.cs                                                | C#       |         15 |          0 |          3 |         18 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Properties\AssemblyInfo.cs                                          | C#       |         15 |         16 |          5 |         36 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Repository\CartRepository.cs                                        | C#       |         45 |          0 |          8 |         53 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Repository\OrderManagementRepository.cs                             | C#       |        100 |          3 |         18 |        121 |
| c:\Users\USERAS\Desktop\Projects\CSharp\PortfolioProject\TechtonicFramework\TechtonicFramework\Repository\OrderRepository.cs                                       | C#       |        126 |          0 |         21 |        147 |
